Item No.,Item Description,CPT,Price
 1226893,ACETAMINOPHEN 160MG/5ML LIQ,,$6.00
 1226895,ACETAMINOPHEN 650MG SUPP,,$9.00
 1227222,ASPIRIN (ECOTRIN) 325MG EC TAB,,$6.00
 1227460,HYDROMORPHONE 2MG TAB,,$6.00
 1227682,HALOPERIDOL 1MG TAB,,$6.00
 1227694,HALOPERIDOL 5MG/ML IM VIAL,J1630,$22.00
 1227736,ACETAMINOPHEN 325MG TAB,,$6.00
 1227757,ACETAMINOPHEN/CODEINE 120/12MG 5ML ELX,,$8.00
 1228193,FLUORESCEIN SODIUM OPHTH STRIP 1MG,,$70.00
 1228539,MAGNESIUM SULFATE 50% 10ML INJ,J3475,$29.00
 1228640,CALCIUM CHLORIDE 1GM / 10ML INJ,J3490,$29.00
 1228673,"EPINEPHRINE 1MG/10ML 1:10,000 INJ SYR",J0171,$33.00
 1228727,AMOXICILLIN/ CLAVULANATE 250/125MG TAB,,$23.00
 1228803,AMOXICILLIN/CLAVULANATE 875/125MG TAB,,$9.00
 1229237,LIDOCAINE 2% 400MG/20ML MDV,J3490,$29.00
 1229247,LEVOTHYROXINE 25MCG TAB,,$6.00
 1229264,LEVOTHYROXINE 50MCG TAB,,$6.00
 1229290,LEVOTHYROXINE 100MCG TAB,,$6.00
 1229485,BISMATROL LIQ 8OZ,,$14.00
 1230160,LABETALOL 100MG/20ML INJ,J3490,$29.00
 1230165,GLYBURIDE 5MG TAB,,$6.00
 1230166,GLYBURIDE 2.5MG TAB,,$6.00
 1230814,BUMETANIDE 1MG/4ML SDV,J3490,$29.00
 1231228,CEFTRIAXONE 500MG VIAL,J0696,$29.00
 1231615,SULFAMETHOXAZOLE/TRIMETHOPRIM 800/160MG,,$9.00
 1231621,METRONIDAZOLE 500MG/ NS 100ML PREMIX,J3490,$29.00
 1231624,FENTANYL 100MCG/2ML INJ,J1810,$29.00
 1231997,PREDNISONE 20MG TAB,,$6.00
 1232055,ASCORBIC ACID 500MG TAB,,$6.00
 1232123,MULTI-VITAMIN TAB,,$6.00
 1232155,PREDNISONE 5MG TAB,,$6.00
 1232359,WARFARIN SODIUM 2.5 MG TAB,,$7.00
 1232703,PHENYLEPHRINE2.5% OPTH SOL DROPS,,$97.00
 1232768,NALOXONE 0.4MG/ML INJ,J2310,$52.00
 1233301,DONEPEZIL 5MG TAB,,$32.00
 1235206,LABETALOL 100MG TAB,,$6.00
 1235219,DEXAMETHASONE 4MG TAB,,$6.00
 1235428,ACETAMINOPHEN 325MG SUPP,,$6.00
 1237340,ACYCLOVIR 800MG TAB,,$25.00
 1237433,ATENOLOL 25MG TAB,,$6.00
 1237439,ATENOLOL 50MG TAB,,$6.00
 1237447,BENZONATATE 100MG CAP,,$6.00
 1237827,ALPRAZOLAM 0.25MG TAB,,$6.00
 1237828,ALPRAZOLAM 0.5MG TAB,,$6.00
 1237859,PHENAZOPYRIDINE 100MG TAB,,$6.00
 1237902,PROCHLORPERAZINE 10MG/2ML INJ,J3490,$29.00
 1238074,ATROPINE 1% OPHTH SOLN 5ML,,$15.00
 1238295,GUAIFENESIN 600MG ER TAB,,$6.00
 1239001,GLIMEPIRIDE 2MG TAB,,$6.00
 1239008,PREDNISOLONE 15MG/5ML LIQ 8OZ,,$6.00
 1239445,RACEPINEPHRINE 2.25% INH 11.25MG/0.5ML,,$6.00
 1239525,DIAZEPAM 10MG/2ML INJ,J3360,$118.00
 1239577,LIDOCAINE 1% 200MG/20ML  MDV,J3490,$29.00
 1239817,NEOMY/POLYMIX/HC OTIC SOLN 10ML,,$215.00
 1239886,DIPHENHYDRAMINE 50MG CAP,Q0163,$6.00
 1240199,AMIODARONE 200MG TAB,,$8.00
 1240268,ENALAPRIL 5MG TAB,,$6.00
 1241360,HYDROXYZINE 50MG/ML INJ,J3490,$29.00
 1243700,DIPHENHYDRAMINE 25MG CAP,,$6.00
 1244056,EPINEPHRINE 30MG/30ML INJ,J3490,$34.00
 1244057,EPINEPHRINE NASAL SOL 1:1000 30ML,,$158.00
 1244269,PENICILLIN G POTASSIUM 5 MILLION UNITS,J0561,$41.00
 1244300,EPINEPHRINE 1MG/ML AMP,J0171,$29.00
 1244840,NITROGLYCERIN 0.4MG SL TAB,,$6.00
 1244870,PHENYTOIN 100MG/2ML INJ,J3490,$29.00
 1245022,CEFTRIAXONE 1GM INJ,J0696,$33.00
 1245210,SODIUM CHLORIDE NS LIQ,,$11.00
 1245355,ASPIRIN 81MG CHEW TAB,,$6.00
 1245392,VENLAFAXINE XR 37.5MG CAP,,$24.00
 1245812,DILTIAZEM 25MG/5ML INJ,J3490,$29.00
 1246331,VANCOMYCIN 500MG INJ,J3370,$29.00
 1246488,POTASSIUM CHLORIDE 20MEQ TAB,,$6.00
 1246851,FAMOTIDINE 20MG TAB,,$10.00
 1246994,AZITHROMYCIN 250MG TAB,,$18.00
 1247106,QUINAPRIL 10MG TAB,,$6.00
 1247141,NICOTINE 14MG PATCH,,$13.00
 1247143,NICOTINE 21MG PATCH,,$16.00
 1247479,BUSPIRONE 5MG TAB,,$6.00
 1248113,POT CHL 20MEQ 5%DEX 0.9%SOD CHLOR 1000ML,,$55.00
 1248297,NIFEDEPINE 10MG CAP,,$6.00
 1248624,FLURBIPROFEN 0.03% 2.5ML OPHTH SOL,,$43.00
 1249030,SODIUM CHLORIDE 0.45% IV 1000ML,,$29.00
 1249088,GENTAMICIN OPHTH DROPS 5ML,,$23.00
 1249532,ISOSORBIDE MONONITRATE 30MG ER TAB,,$7.00
 1250228,SERTRALINE 50MG TAB,,$6.00
 1250296,SIMVASTATIN 20MG TAB,,$6.00
 1250346,CAPSAICIN 0.025% CREAM 60GM,,$81.00
 1251476,CEPHALEXIN 500MG CAP,,$6.00
 1251944,DIGOXIN 0.125MG TAB,,$6.00
 1251946,DIGOXIN 0.25MG TAB,,$6.00
 1252508,HYDROCHLOROTHIAZIDE 25MG TAB,,$6.00
 1252656,METFORMIN 500MG TAB,,$6.00
 1252787,CIPROFLOXACIN 500MG TAB,,$30.00
 1253646,ALTEPLASE 2MG INJ,J2997,$224.00
 1253671,GENTAMICIN 80MG/2ML SDV,J1580,$29.00
 1253696,FINASTERIDE 5MG TAB,,$9.00
 1253742,LISINOPRIL 5MG TAB,,$6.00
 1253746,LISINOPRIL 10MG TAB,,$6.00
 1253748,LISINOPRIL 20MG TAB,,$6.00
 1254005,PHENYTOIN 250MG/5ML INJ,J1165,$29.00
 1254963,CLONIDINE 0.2MG TAB,,$6.00
 1255014,METRONIDAZOLE 500MG TAB,,$10.00
 1255021,INDOMETHACIN 25MG CAP,,$6.00
 1255040,TRIAMCINOLONE 0.1% CREAM 15GM,,$25.00
 1255053,IBUPROFEN 400MG TAB,,$6.00
 1255055,IBUPROFEN 600MG TAB,,$6.00
 1255056,IBUPROFEN 800MG TAB,,$6.00
 1255073,METOCLOPRAMIDE 10MG TAB,,$6.00
 1255077,METOCLOPRAMIDE 10MG/2ML INJ,J2765,$29.00
 1255093,OXYMETAZOLINE NASAL SPRAY,,$14.00
 1255493,ENALAPRILAT 1.25MG/ML INJ,J3490,$29.00
 1256251,DEXTROSE 5% / 0.45% NS+20KCL 1000ML,,$29.00
 1256255,SODIUM CHL 0.9% + 40MEQ KCL IV 1000ML,,$61.00
 1258265,BUPIVACAINE 0.25% 30ML INJ,J3490,$33.00
 1258668,BISACODYL 10MG SUPP,,$6.00
 1259288,CLINDAMYCIN 600MG VIAL,J3490,$29.00
 1259307,ESMOLOL 100MG/10ML INJ,J3490,$112.00
 1259868,ALLOPURINOL 100MG TAB,,$12.00
 1259869,ALLOPURINOL 300MG TAB,,$6.00
 1260002,ACTIVATED CHARCOAL/SORBITOL 50/96GM SUSP,,$100.00
 1260008,BELLADONNA/PHENOBARBITAL ELIXIR 4OZ,,$30.00
 1260009,ANTIPYRINE/BENZOCAINE OTIC SOL 10ML,,$33.00
 1260027,CEPHALEXIN 125/5ML SUSP,,$34.00
 1260036,PROMETHAZINE/DM 6.25/15MG/5ML SYR,,$6.00
 1260044,DOPAMINE 400MG/ D5W 250ML PREMIX,J1265,$121.00
 1260045,IPRATR/ALBUT 0.5/3MG SVN 3ML,,$24.00
 1260048,HEPATITIS B VAC 20MCG/ML INJ,90746,$210.00
 1260051,ETOMIDATE 20MG/10ML INJ,J3490,$40.00
 1260053,OFLOXACIN 0.3% 5ML OPHTH SOLN,J3490,$180.00
 1260059,ABSORBABLE GELATIN SPONGE 12-7MM,,$33.00
 1260062,HEPARIN SOD 500 UNITS/5ML FLUSH,J3490,$29.00
 1260072,KETOROLAC 30MG/ML SDV,J1885,$29.00
 1260073,KETOROLAC 60MG/2ML SDV,J1885,$29.00
 1260076,LEVOFLOXACIN 750MG/ D5W 150ML PREMIX,J1956,$53.00
 1260080,"LIDOCAINE 1% / EPI 1:100,000 INJ 20ML",J3490,$29.00
 1260081,"LIDOCAINE 2% / EPI 1:200,000 INJ 20ML",J2001,$35.00
 1260087,MAGNESIUM CHLORIDE 64MG TAB,,$6.00
 1260090,MEGESTROL 400MG/10ML SUSP,,$25.00
 1260092,METHYLPREDNISOLONE 4MG TAB,,$106.00
 1260093,METOCLOPRAMIDE 10MG/10ML ORAL SOL,,$10.00
 1260099,MORPHINE 10MG/5ML SOLN,,$7.00
 1260100,MORPHINE 15MG EXTENDED-RELEASE TAB,,$6.00
 1260103,PHENYLEPHRINE HCL 1% XS NASAL 15ML,,$20.00
 1260109,HYDROCODONE/APAP 7.5/325MG TAB,,$6.00
 1260112,NYSTATIN PDR 15GM PWDR,,$84.00
 1260113,"NYSTATIN 500,000 U/5ML LIQ",,$9.00
 1260114,NYSTATIN CREAM 30GM,,$108.00
 1260118,OXYCODONE/APAP 5/325MG TAB,,$6.00
 1260131,PROPOFOL 200MG/20ML INJ,J3490,$35.00
 1260134,PROPRANOLOL 20MG TAB,,$6.00
 1260140,GLYCOPYRROLATE 0.4MG/2ML SDV,J3490,$77.00
 1260150,PURIFIED WATER EYE IRRIGATION 30ML,,$20.00
 1260153,HYDROCORTISONE 100MG INJ,J3490,$33.00
 1260163,SULFAMETH/TRIMETHO 800/160MG 20ML SUSP,,$69.00
 1260166,DIPHTHERIA/A TETANUS TOX PED 0.5ML INJ,90702,$154.00
 1260167,TETRACAINE HCL 0.5% 2ML OPHTH SOL,,$45.00
 1260182,SEVOFLURANE INH 250ML,,$787.00
 1260185,VANCOMYCIN 1GM INJ,J3370,$35.00
 1260190,RANITIDINE 150MG TAB,,$6.00
 1260191,ROCURONIUM BROMIDE 50MG/5ML INJ,J3490,$23.00
 1260193,AZITHROMYCIN 600MG/15ML SOL,,$170.00
 1260194,ACETAMINOPHEN 120MG SUPP,,$9.00
 1260200,AMOXICILLIN 125MG/5ML ORAL SUSP,,$17.00
 1260204,MUPIROCIN CREAM 15GM,,$173.00
 1260211,ACETAMINOPHEN/CODEINE 300/30MG TAB,,$6.00
 1260216,TRIAMTERENE/HCTZ 37.5/25MG CAP,,$6.00
 1260223,LEVOTHYROXINE 75MCG TAB,,$6.00
 1260233,AMOXICILLIN 250MG/5ML ORAL SUSPENSION,,$33.00
 1260242,ATROPINE SULFATE 1MG/10ML SYRINGE,J0461,$29.00
 1260243,PHENOBARBITAL 20MG/5ML LIQ 473ML,,$6.00
 1260728,TRAMADOL 50MG TAB,,$6.00
 1260762,FLUOXETINE 20MG CAP,,$15.00
 1260766,OXYBUTYNIN 5MG TAB,,$6.00
 1262508,LATANOPROST 0.005% 2.5ML OPHTH,,$280.00
 1263457,FUROSEMIDE 20MG TAB,,$6.00
 1263647,NITROFURANTOIN 100MG CAP,,$24.00
 1263698,MESALAMINE 400MG TAB,,$10.00
 1263861,ACETAMINOPHEN 500MG TAB,,$6.00
 1265345,SODIUM CHLORIDE INH 0.9% 3ML,J3490,$29.00
 1265938,MAGNESIUM HYDROXIDE 2400MG/30ML,,$6.00
 1266692,LIDOCAINE 2% VISC ORAL SOL 20ML UD,,$8.00
 1266714,ACETYLCYSTINE 20% INH 20ML,J7604,$30.00
 1266727,GUAIFENESIN/DM 100MG/10MG 5ML SYP,,$13.00
 1266751,CEPHALEXIN 250/5ML SUSP,,$35.00
 1266766,LORAZEPAM 0.5MG TAB,,$6.00
 1266767,LORAZEPAM 1MG TAB,,$6.00
 1266769,TEMAZEPAM 15MG CAP,,$6.00
 1268153,MAGNESIUM CITRATE LIQ 10OZ,,$12.00
 1268168,DEXTROSE 50% 50ML INJ SYR,,$33.00
 1269259,BUPROPION SR 150MG TAB,,$7.00
 1269445,DROPERIDOL 5MG/2ML INJ,J1790,$29.00
 1269593,CLONAZEPAM 1MG TAB,,$6.00
 1270427,DEXTROSE 5%/WATER 1000ML,,$41.00
 1271122,AMLODIPINE 5MG TAB,,$6.00
 1271613,DEXTROSE 5%/WATER 250ML,,$34.00
 1272227,THEOPHYLLINE ANHYDROUS 300MG TAB,,$6.00
 1272685,ESTRADIOL 1MG TAB,,$6.00
 1273102,SOTALOL 80MG TAB,,$6.00
 1273846,IBUPROFEN 100MG/5ML LIQ,,$6.00
 1274056,SILVER NITRATE APPLICATOR,,$6.00
 1274885,AZITHROMYCIN 300MG/15ML SOL,,$170.00
 1275001,LEVALBUTEROL 1.25MG/3ML SVN,,$35.00
 1275040,ZOLPIDEM TARTRATE 5MG TAB,,$25.00
 1275105,AMMONIA INH AMP,,$6.00
 1275535,PAROXETINE 20MG TAB,,$6.00
 1275546,SUMATRIPTAN 6MG/0.5ML INJ,J3030,$73.00
 1275629,AMOXICILLIN 500MG CAP,,$6.00
 1275662,SODIUM CHLORIDE 0.9% IV 50ML,,$29.00
 1275663,SODIUM CHLORIDE 0.9% IV 100ML,,$29.00
 1275777,TOPIRAMATE 25MG TAB,,$16.00
 1275986,ONDANSETRON 4MG TAB,,$6.00
 1276120,VALSARTAN 80MG TAB,,$28.00
 1276759,LIDOCAINE JEL 2% 30ML,,$82.00
 1276881,LORATADINE 10MG TAB,,$6.00
 1277125,ASPIRIN 81MG EC TAB,,$6.00
 1277586,DOXEPIN 25MG TAB,,$6.00
 1277958,ADENOSINE 6MG/2ML INJ,A9270,$99.00
 1278049,ENOXAPARIN 30MG/0.3ML INJ,J1650,$33.00
 1278051,ENOXAPARIN 40MG/0.4ML INJ,J1650,$44.00
 1278479,NORTRIPTYLINE 10MG TAB,,$6.00
 1279610,BACLOFEN 10MG TAB,,$6.00
 1280057,SODIUM CHL .45%20 MEQ 1000ML,,$0.00
 1280058,SODIUM CHL 0.9% + 40MEQ KCL IV 1000ML,,$29.00
 1281185,DIPHENHYDRAMINE 12.5MG/5ML LIQ,,$6.00
 1281539,THEOPHYLLINE ANHYDROUS 200MG TAB,,$6.00
 1281961,METOPROLOL TARTRATE 50MG TAB,,$6.00
 1282305,NIFEDIPINE ER 30MG TAB,,$8.00
 1283202,PNEUMOCOCCAL VACCINE 25MCG/0.5ML INJ,90732,$194.00
 1284202,DEXTROSE 5% / 0.2% NACL 1000ML,,$29.00
 1284550,SODIUM BICARB 4.2% 5MEQ/10ML PED SYR,J3490,$34.00
 1284616,DEXTROSE 5% / 0.9% NS 1000ML,,$29.00
 1284677,PIPERACILLIN/TAZOBACTAM 3.375GM VIAL,J3490,$35.00
 1284694,MORPHINE 4MG/ML INJ,J2270,$29.00
 1284695,MORPHINE 2MG/ML INJ,J2270,$29.00
 1284822,DEXTROSE 5% / 0.45% NS 1000ML,,$29.00
 1284880,NEOSTIGMINE 10MG/10ML INJ,J2710,$29.00
 1285092,DEXTROSE 5%/WATER 500ML,J7060,$12.00
 1285141,SODIUM CHLORIDE 0.9% 10ML INJ SYG,A4216,$29.00
 1285373,DEXTROSE 10%/ WATER 1000ML,,$29.00
 1285399,SODIUM CHL 0.9% + 20MEQ KCL IV 1000ML,,$228.00
 1285951,LACTATED RINGERS IV 1000ML,J7120,$29.00
 1286017,DEXTROSE 5% LACTATED RINGERS IV 1000ML,,$29.00
 1286506,POTASSIUM 20MEQ/100ML PREMIX,J3490,$30.00
 1286710,SODIUM CHLORIDE 0.9% IV 500ML,J7040,$29.00
 1286817,SODIUM CHLORIDE 0.9% IV 1000ML,J7030,$29.00
 1286852,ONDANSETRON 4MG/2ML INJ,J2405,$29.00
 1286863,SUCRALFATE LIQ 1GM/10ML,,$15.00
 1286889,RISPERIDONE 1MG TAB,,$7.00
 1286953,GABAPENTIN 100MG CAP,,$6.00
 1286956,GABAPENTIN 300MG CAP,,$6.00
 1287208,POTASSIUM BICARBONATE 25MEQ EFF TAB,,$6.00
 1288157,INSULIN R INJ per 5 units,J1815,$208.00
 1288247,IPRATROPIUM 0.5MG/2.5ML SVN,J7645,$9.00
 1288848,FLUCONAZOLE 100MG TAB,,$48.00
 1289623,MAG/AL HYDROX/SIMETH 355ML SOL,,$18.00
 1289938,SUCCINYLCHOLINE 200MG/10ML INJ,J0330,$29.00
 1289953,AMITRIPTYLINE 25MG TAB,,$6.00
 1289955,AMITRIPTYLINE 50MG TAB,,$6.00
 1290126,TRAZODONE 50MG TAB,,$6.00
 1290228,CALCIUM CARBONATE 500MG TAB,,$6.00
 1290680,LORAZEPAM 2MG/ML INJ,J2060,$29.00
 1290681,GLIPIZIDE 5MG TAB,,$6.00
 1291814,LACTULOSE 20GM/30ML ORAL SOL,,$14.00
 1294471,MULTI-VITAMIN 2 VIAL INJ SYSTEM,J3490,$39.00
 1298063,NITROGLYCERIN 50MG/ D5W 250ML PREMIX,J3490,$63.00
 1298068,NITROGLYCERIN 0.2MG PATCH,,$9.00
 1299433,FLUTICASONE 50MCG NASAL SPRAY,,$245.00
 1299436,OXYCODONE 40MG CR TAB,,$35.00
 1299437,OXYCODONE 20MG CR TAB,,$29.00
 1299717,LIDOCAINE JEL 2% 5ML,,$26.00
 1299732,INSULIN GLARGINE1000UNITS/10ML VIAL,J1815,$257.00
 1299733,INSULIN ASPARATE 70/30 INJ,J3490,$171.00
 1299734,INSULIN NPH INJ,S5552,$208.00
 1299737,GABAPENTIN 800MG CAP,,$17.00
 1299741,NAPROXEN 500MG TAB,,$8.00
 1299999,JUST LIKE TEMPLATE NON-IV,,$0.00
 1604816,NURSING PROCEDURE,,$290.00
 1604819,TRANSFUSION,36430,$901.00
 1800001,CATH UTILITY 12FR RUBBER,,$4.00
 1800002,CATH UTILITY 14FR RUBBER,,$4.00
 1800003,CATH UTILITY 16FR RUBBER,,$4.00
 1800004,CATH UTILITY 20FR RUBBER,,$4.00
 1800005,STRAP LEG CATH,,$14.00
 1800006,CATH FOLEY 18FR IRRIG 3-WAY 30CC BALLO,,$42.00
 1800007,CATH FOLEY 20FR IRRIG 3-WAY 30CC BALLO,,$41.00
 1800008,CATH FOLEY 22FR IRRIG 3-WAY 30CC BALLO,,$42.00
 1800009,CATH FOLEY 24FR IRRIG 3-WAY 30CC BALLO,,$42.00
 1800010,CATH FOLEY 26FR IRRIG 3-WAY 30CC BALLO,,$42.00
 1800011,CATH FOLEY 14FR COUDE LF,,$41.00
 1800012,CATH FOLEY 16FR COUDE 5CC,,$41.00
 1800013,CATH FOLEY 18FR COUDE 5CC,,$42.00
 1800014,CATH FOLEY 20FR COUDE 5CC,,$42.00
 1800016,CATH FOLEY 12FR SIL 5CC,,$13.00
 1800017,CATH FOLEY 14FR SIL 5CC,,$13.00
 1800018,CATH FOLEY 16FR SIL 5CC,,$13.00
 1800019,CATH FOLEY 18FR SIL 5CC,,$13.00
 1800020,CATH FOLEY 18FR W/30CC BALL,,$23.00
 1800021,CATH FOLEY 20FR SIL 5CC,,$13.00
 1800022,CATH FOLEY 22FR W/5CC BALLOON,,$20.00
 1800023,CATH FOLEY 22FR W/30CC BALLOON,,$23.00
 1800024,CATH FOLEY 24FR W/5CC BALLOON,,$20.00
 1800025,CATH FOLEY 26FR W/5CC BALLOON,,$20.00
 1800026,TUBE RECTAL 24FR POLY CATH NONSTERILE,,$14.00
 1800027,CATH FOLEY 20FR 30CC RIB BAL,,$23.00
 1800028,CATH FOLEY 24FR 30CC RIB BAL,,$23.00
 1800029,CATH FOLEY 26FR 30CC RIB BAL,,$23.00
 1800030,CATH FOLEY 28FR 30CC RIB BAL,,$23.00
 1800031,CATH FOLEY 10FR PEDS 3CC,,$33.00
 1800032,CATH FOLEY 8FR PEDS 3CC,,$33.00
 1800033,SHEATH URO SMALL 25MM HYDROCOLLOID ADHE,,$7.00
 1800034,SHEATH URO MEDIUM,,$17.00
 1800035,SHEATH URO LARGE,,$17.00
 1800036,DERMABOND VIAL 1/EA,,$92.00
 1800037,DRSG AQUACEL FOAM 4X4,,$17.00
 1800038,DRSG AQUACEL FOAM 5X5,,$19.00
 1800039,DRESSING COMBIDERM ACD 6X7 ABSORBENT COV,,$23.00
 1800040,DRSG COMBIDERM ACD 6X10,,$31.00
 1800041,VALVE ULTRASITE MALE LUER CSU100,,$8.00
 1800042,DRSG BIOCLUSIVE TRANSP 4X10,,$16.00
 1800043,DERMABOND*,,$119.00
 1800044,DRSG SURESITE 4X5 TRANS,,$12.00
 1800045,DRSG BIOCLUSIVE TRANSP 2X3*,,$4.00
 1800046,NON CHARGEABLE,,$4.00
 1800047,DRSG VASELINE 3X9 GAUZE OVERWRAP*,,$5.00
 1800048,DRSG VASELINE 1/2X72 GAUZE OVERWRAP,,$10.00
 1800049,CATH PEDIATRIC STRAIGHT 5FR,,$22.00
 1800050,DRSG TEGADERM 4X10,,$8.00
 1800051,DRSG TRANSPARENT IV 3-1/2X4-1/4,,$7.00
 1800052,DRSG AQUACELL H/FIBER 4X4,,$19.00
 1800053,DRSG AQUACELL H/FIBER 3/4X18,,$25.00
 1800054,DRSG AQUACELL 2X2,,$15.00
 1800055,DRSG AQUACEL  H/FIBER 6X6,,$35.00
 1800056,DRSG SORBSAN 4X4 PAD ABS 10/BX,,$22.00
 1800057,NON CHARGEABLE,,$4.00
 1800058,DRSG ADAPTIC 3X3 NON ADHERING,,$4.00
 1800059,DRSG ADAPTIC 3X8,,$7.00
 1800060,DRSG XEROFORM 5X9 STERILE GAUZE CURAD,,$5.00
 1800061,DRSG DUODERM 4X4 CGF 5/BX,,$13.00
 1800062,CATH SELF PEDIATRIC STRAIGHT TIP 5FR 10,,$12.00
 1800063,DRSG DUODERM 6X6 CGF,,$46.00
 1800064,NON CHARGEABLE,,$4.00
 1800065,NON CHARGEABLE,,$5.00
 1800066,NON CHARGEABLE,,$7.00
 1800067,NON CHARGEABLE,,$6.00
 1800068,PACKING PLAIN 1/4X5 YRDS*,,$18.00
 1800069,PACKING PLAIN 1/2X5 YRDS,,$20.00
 1800070,PACKING PLAIN 1X5 YRDS*,,$20.00
 1800071,PACKING PLAIN 2X5 YRDS*,,$20.00
 1800072,PACKING IODOFORM 1/4X5 YRDS*,,$19.00
 1800073,PACKING IODOFORM 1/2X5 YRDS*,,$13.00
 1800074,PACKING IODOFORM 1X5 YRDS*,,$23.00
 1800075,PACKING IODOFORM 2X5 YRDS,,$28.00
 1800076,DIMENSION CHOL,,$0.00
 1800077,SUCTION FRAZIER 10FR SUCT/INST,,$13.00
 1800078,CATH SUCTION 5-6FR INFANT,,$4.00
 1800079,CATH SUCTION TRI-FLO 10FR SURG,,$2.00
 1800080,IV START KIT W/BIOCLUSIVE DRSG,,$5.00
 1800081,BIOPSY FORCEP 2.0MM,,$111.00
 1800082,LUBRICATING JELLY 4OZ TUBE*,,$9.00
 1800083,NON CHARGEABLE,,$6.00
 1800084,SPECIMEN COLLECTOR URINE/STOOL*,,$4.00
 1800085,NON CHARGEABLE,,$4.00
 1800086,STOCKING ANTI EMBO T-HI LG/SHRT LATEX FR,,$29.00
 1800087,STOCKING ANTI EMBO T-HI SM/REG,,$29.00
 1800088,STOCKING ANTI EMBO T-HI MED/REG,,$27.00
 1800089,STOCKING ANTI EMBO T-HI MED/SHRT,,$28.00
 1800090,STOCKING ANTI EMBO T-HI MED/LONG,,$28.00
 1800091,STOCKING ANTI EMBO T-HI LG/REG,,$28.00
 1800092,STOCKING ANTI EMBO T-HI XLG/SHORT*,,$46.00
 1800093,STOCKING ANTI EMBO T-HI LG/LONG*,,$29.00
 1800094,STOCKING ANTI EMBO T-HI XLG/LONG*,,$34.00
 1800095,STOCKING ANTI EMBO T-HI SM/SHRT,,$28.00
 1800096,TRACH TUBE HOLDER 1 SIZE FITS ALL,,$15.00
 1800097,BAG ENEMA W/CONT RET,,$5.00
 1800099,TRACH TUBE SZ 10.0 LPC,,$207.00
 1800100,SPECIMEN COLLECTOR PT20 W/SCREEN,,$17.00
 1800101,TRACH TUBE SZ 3.0 NEO,,$149.00
 1800102,TRACH TUBE SZ 3.5 NEO,,$149.00
 1800103,TRACH TUBE SZ 4.0 NEO,,$149.00
 1800104,TRACH TUBE SZ 4.5 NEO,,$214.00
 1800105,TRACH TUBE SZ 8.0 LPC,,$239.00
 1800106,TRACH TUBE SZ 6.0 LPC,,$171.00
 1800107,TRACH PED SZ 4.0 PDC CUFFED,,$152.00
 1800108,TRACH PED SZ 4.5 PDC CUFFED,,$137.00
 1800109,TRACH PED SZ 5.0 PDC CUFFED,,$201.00
 1800110,TRACH TUBE SZ 4.0 LPC,,$171.00
 1800111,VALVE CHEST DRAIN HEMILICH,,$400.00
 1800112,BAG DRAIN LEG MEDIUM W/STRAP,,$12.00
 1800113,BAG DRAINAGE 2000ML W/DRAIN,,$16.00
 1800114,ENEMA FLEET MINERAL OIL S-SOFT,,$13.00
 1800115,ENEMA FLEET ADULT 4.5 FL OZ,,$7.00
 1800116,FILTER CALCULI URILOGICAL DISPOSABLE,,$4.00
 1800117,OINTMENT PROTECTIVE 2OZ ALOE VESTA,,$10.00
 1800118,HYDROACTIVE GEL DUODERM,,$17.00
 1800119,SPONGE GAUZE TRAY 4X4 STR*,,$5.00
 1800120,NON CHARGEABLE,,$9.00
 1800121,DO NOT USE,,$10.00
 1800122,DRSG ABD/COMB 5X9 SURGIPAD,,$2.00
 1800123,SPONGE DRAIN 4X4 EXCILON AMD SOFTWICK*,,$4.00
 1800124,NON CHARGEABLE,,$4.00
 1800125,TRACH PED SZ 5.5 PDC CUFFED,,$152.00
 1800126,DRSG TELFA 3X8 NON-ADH*,,$4.00
 1800127,NON CHARGEABLE,,$6.00
 1800128,NON CHARGEABLE,,$5.00
 1800129,NON CHAGEABLE,,$4.00
 1800130,DRSG ABDOMINAL 7.5X8 PAD*,,$4.00
 1800131,BANDAGE COBAN SLF-AD 2X5YDS,,$7.00
 1800132,BANDAGE COBAN SLF-AD 4X5YDS STERILE*,,$13.00
 1800133,BAG ICE PACK WOVEN 4 TIE LRG,,$10.00
 1800134,ADAPTER VIAL UNIVERSAL  2N8395,,$5.00
 1800135,POUCH STOMA CUT TO FIT,,$10.00
 1800136,NEEDLE WEISS FIXED WING 18X5,,$41.00
 1800137,GRIPPER PORTACATH 20GX1,,$34.00
 1800138,GRIPPER PORTACATH 20GX1-1/4,,$34.00
 1800139,PUMP BLOOD IV TUBING W/FILTER & LUER LOK,,$26.00
 1800140,GRIPPER PORTACATH 22GX1-1/4,,$35.00
 1800141,IV ANGEL WING 19GX3/4,,$3.00
 1800142,NON CHARGEABLE,,$6.00
 1800143,NON CHARGEABLE,,$7.00
 1800144, BUTTERFLY SAFETY 25GX3/4 VACUTAINER,,$7.00
 1800145,IV CATH ANGIO 14GX5.25 ORANGE AUTOGUARD,,$12.00
 1800146,IV CATH ANGIO 16GX1.25 JELCO,,$10.00
 1800147,IV CATH ANGIO 24GX .75 SAF AUTOGUARD Y,,$16.00
 1800148,IV CATH ANGIO 22GX1 SAF AUTOGUARD BLU,,$12.00
 1800149,IV CATH ANGIO 20GX1.16 SAF AUTOGUARD,,$12.00
 1800150,IV CATH ANGIO 18GX1.16 SAF AUTOGUARD,,$16.00
